Mon Lunch|||||||||||||||||||||||||
| Piece of Fresh Fruit |100|37-95|154-397|0.4-1.2|0.1-0.3|0.1|0.0|0.1|8.5-20.9|8.5-23.2|1.1-1.8|1.0-5.0|120-400|4.0-47|0.1-0.3|||||||||
| Fruit Yoghurt |110|78|326|3.3|0.2|0.0|0.0|0.0|10.2|10.2|0.0|49.5|211.2|n/a|n/a|||||||||
| Cheese and Biscuits |1|207|864|10.2|14.5|7.6|3.3|0.4|0|9.6|0.3|338|43|274|0.3|||||||||
| Cheesecake |1|151|632|24|5|1|2|1|5|n/a|n/a|1788|748|n/a|n/a|||||||||
|||||||||||||||||||||||||
| Ham Salad |1|150.7|628|24.1|4.6|1.2|1.8|0.6|5|5.3|1.6|1788|748|36.1|2.1|||||||||
| Mixed Bean Salad |1|158|661|10.3|2.8|0.3|0.5|1|6.2|24.5|7.8|714.3|574|96.1|3.3|||||||||
| Tuna Mayonnaise Salad    |1|388.7|1624|36.8|23.6|2.7|5.6|13.1|6|6.4|1.8|629.3|687|47.3|2.39|||||||||
| Egg Salad |1|179.7|752|13.7|11.5|3.1|4.7|1.3|5.6|5.9|1.8|154.3|467|90.3|2.7|||||||||
| Chicken Salad |1|298.7|1247|42.2|12|0|3.1|5.2|7.9|5.9|1.8|134.3|802|50.3|1.8|||||||||
| Cheese Salad |1|365.7|1528|21.5|28.6|17.3|7.5|1|5.7|6|1.8|592.3|397|624.3|23.8|||||||||
|||||||||||||||||||||||||
Wed Dinner|||||||||||||||||||||||||
|  Fruit Juice |160|75|314|0.2-0.8|0.2|0.0|0.0|0.0|16.2-17.8|16.2-17.8|0.2|16.0|240.0|16.0|0.3|||||||||
| Cauliflower Soup  |240|316|1330|8.6|14.2|6.7|4.3|17.1|4.7|40|2.9|467|399|133|1.5|||||||||
|||||||||||||||||||||||||
| Fillet of Mackerel with Braised Lentils |201|402|1670|28.3|25|6.1|11.7|5.1|3.1|15.2|2.5|186|639|84|3.5|||||||||
| Roast Turkey & Stuffing with gravy |167|292|1222|6.7|21.0|9.1|8.8|2.1|4.5|18.0|1.8|157.0|306.0|98.0|1.0|||||||||
